егоже,-s---mg--i
посълѭ,1spia----i
вамъ,2p---qd--i
отъ,---------n
оца,-s---mg--i
дхъ,-s---mn--i
істіньнъі,-p---fnpsi
іже,-s---mn--i
отъ,---------n
оца,-s---mg--i
ісходітъ,3spia----i
тъ,-s---mn--i
съвѣдѣтельствоуетъ,3spia----i
о,---------n
мьнѣ,1s---ql--i
і,---------n
въі,2p---qn--i
же,---------n
съвѣдѣтельствоуіте,2ppma----i
ѣко,---------n
ісконі,---------n
съ,---------n
мноѭ,1s---qi--i
есте,2ppia----i
сі,-p---na--i
глахъ,1saia----i
вамъ,2p---qd--i
да,---------n
не,---------n
съблазніте,2ppia----i
сѧ,3s---qa--i
отъ,---------n
сънъмішт,-pppamn-si
іжденѫтъ,3ppia----i
въі,2p---qa--i
нъ,---------n
прідетъ,3spia----i
годіна,-s---fn--i
да,---------n
вьсѣкъ,-s---mnpsi
іже,-s---mn--i
оубіетъ,3spia----i
въі,2p---qa--i
мьнітъ,3spia----i
сі,-p---nn--i
слоужьбѫ,-s---fa--i
пріносіті,--pna----i
бві,-s---md--i
і,---------n
сі,-p---na--i
творѧтъ,3ppia----i
вамъ,2p---qd--i
ѣко,---------n
не,---------n
познашѧ,3paia----i
оца,-s---mg--i
ні,---------n
мене,1s---mg--i
нъ,---------n
се,-s---na--i
глахъ,1saia----i
вамъ,2p---qd--i
да,---------n
егда,---------n
прідетъ,3spia----i
годіна,-s---fn--i
помінаете,2ppia----i
сі,-p---na--i
ко,---------n
азъ,1s---qn--i
рѣхъ,1saia----i
вамъ,2p---qd--i
сіхъ,-p---ng--i
же,---------n
вамъ,2p---qd--i
іспръва,---------n
не,---------n
рѣхъ,1saia----i
ѣко,---------n
съ,---------n
вамі,2p---qi--i
бѣхъ,1siia----i
нъінѣ,---------n
же,---------n
ідѫ,3paia----i
къ,---------n
посълавъшоуемоу,-s---mdpwi
мѧ,1s---qa--i
і,---------n
ніктоже,-s---qn--i
отъ,---------n
васъ,2p---qg--i
не,---------n
въпрашаетъ,3spia----i
мене,1s---qg--i
камо,---------n
ідеші,2spia----i
нъ,---------n
ѣко,---------n
сі,-p---na--i
глахъ,1saia----i
вамъ,2p---qd--i
скръбь,-s---fa--i
ісплъні,3saia----i
сръдьца,-p---nn--i
ваша,2p---nn--i
нъ,---------n
азъ,1s---qn--i
істінѫ,-s---fa--i
глѭ,1spia----i
вамъ,2p---qd--i
добрѣе,-------c-i
естъ,3spia----i
вамъ,2p---qd--i
да,---------n
азъ,1s---qn--i
ідѫ,1spia----i
аште,---------n
бо,---------n
не,---------n
ідѫ,1spia----i
азъ,1s---qn--i
параклітъ,-s---mn--i
не,---------n
прідетъ,3spia----i
къ,---------n
вамъ,2p---qd--i
і,---------n
прішьдъ,-supamn-si
онъ,-s---mn--i
облічітъ,3spia----i
всего,-s---mg--i
міра,-s---mg--i
о,---------n
грѣсѣ,-s---ml--i
і,---------n
о,---------n
правдѣ,-s---fd--i
і,---------n
о,---------n
сѫдѣ,-s---ml--i
о,---------n
грѣсѣ,-s---ml--i
оубо,---------n
ѣко,---------n
не,---------n
вѣроуѭтъ,3ppia----i
въ,---------n
мѧ,1s---qa--i
о,---------n
правьдѣ,-s---fl--i
же,---------n
ѣко,---------n
къ,---------n
оцоу,-s---md--i
ідѫ,3paia----i
і,---------n
к,---------n
томоу,-s---nd--i
не,---------n
відіте,2ppia----i
мене,1s---qg--i
о,---------n
сѫдѣ,-s---ml--i
же,---------n
ѣко,---------n
кнѧзь,-s---mn--i
міра,-s---mg--i
сего,-s---og--i
осѫжденъ,-suppmn-si
бъіс,3saia----i
еште,---------n
много,-s---napsi
імамь,1spia----i
глаті,--pna----i
вамъ,2p---qd--i
нъ,---------n
не,---------n
можете,2ppia----i
носіті,--pna----i
нъінѣ,---------n
егда,---------n
же,---------n
прідетъ,3spia----i
онъ,-s---mn--i
дхъ,-s---mn--i
істіньнъі,-p---fnpsi
наставітъ,3spia----i
въі,2p---qa--i
на,---------n
всѣкѫ,-s---fapsi
істінѫ,-s---fa--i
не,---------n
о,---------n
себѣ,3s---ql--i
бо,---------n
глаті,--pna----i
іматъ,3spia----i
нъ,---------n
еліко,---------n
аште,---------n
оуслъішітъ,3spia----i
глаті,--pna----i
іматъ,3spia----i
і,---------n
грѧдѫштаа,-pppana-wi
вьзвѣстітъ,3spia----i
вамъ,2p---qd--i
онъ,-s---mn--i
мѧ,1s---qa--i
прославітъ,3spia----i
ѣко,---------n
отъ,---------n
моего,1s---og--i
прііметъ,3spia----i
і,---------n
вьзвѣстітъ,3spia----i
вамъ,2p---qd--i
всѣ,-p---nn--i
еліко,---------n
іматъ,3spia----i
оць,-s---mn--i
моѣ,1p---nn--i
сѫтъ,3ppia----i
сего,-s---ng--i
раді,---------n
рѣхъ,1saia----i
ѣко,---------n
отъ,---------n
моего,1s---og--i
прііметъ,3spia----i
і,---------n
вьзвѣстітъ,3spia----i
вамъ,2p---qd--i
въ,---------n
малѣ,-s---nlpsi
і,---------n
к,---------n
томоу,-s---nd--i
не,---------n
відітъ,3spia----i
мене,1s---mg--i
і,---------n
пакъі,---------n
въ,---------n
малѣ,-s---nlpsi
і,---------n
оузьріте,2ppia----i
мѧ,1s---qa--i
і,---------n
ѣко,---------n
ідѫ,1spia----i
къ,---------n
оцоу,-s---md--i
рѣшѧ,3paia----i
же,---------n
і,---------n
отъ,---------n
оученікъ,-p---mg--i
его,3s---mg--i
къ,---------n
себѣ,3s---ql--i
чьто,-s---nn--i
се,-s---nn--i
естъ,3spia----i
еже,-s---nn--i
глетъ,3spia----i
къ,---------n
намъ,1p---qd--i
въ,---------n
малѣ,-s---nlpsi
і,---------n
не,---------n
відіте,2ppia----i
мене,1s---qg--i
і,---------n
пакъі,---------n
въ,---------n
малѣ,-s---nlpsi
оузьріте,2ppia----i
мѧ,1s---qa--i
і,---------n
ѣко,---------n
ідѫ,1spia----i
къ,---------n
оцоу,-s---md--i
глаахѫ,3piia----i
же,---------n
чьто,-s---na--i
оубо,---------n
естъ,3spia----i
се,-s---nn--i
еже,-s---nn--i
глетъ,3spia----i
въ,---------n
малѣ,-s---nlpsi
не,---------n
вѣмъ,1ppia----i
чьто,-s---na--i
глетъ,3spia----i
разоумѣ,3saia----i
же,---------n
іс,-s---mn--i
ѣко,---------n
хотѣахѫ,3piia----i
і,3s---ma--i
въпрашаті,--pna----i
і,---------n
рече,3saia----i
імъ,3p---md--i
о,---------n
семь,-s---nl--i
лі,---------n
сътѧзаете,2ppia----i
сѧ,3s---qa--i
междоу,---------n
собоѭ,3s---qi--i
ѣко,---------n
рѣхъ,1saia----i
въ,---------n
малѣ,-s---nlpsi
і,---------n
не,---------n
відіте,2ppia----i
мене,1s---qg--i
і,---------n
пакъі,---------n
въ,---------n
малѣ,-s---nlpsi
оузьріте,2ppia----i
мѧ,1s---qa--i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
въсплачете,2ppia----i
сѧ,3s---qa--i
і,---------n
въздръідаете,2ppia----i
въі,2p---qn--i
а,---------n
вьсь,-s---ma--i
міръ,-s---ma--i
въздрадоуетъ,3spia----i
сѧ,3s---qa--i
въі,2p---qn--i
же,---------n
печальні,-p---mnpsi
бѫдете,2pfia----i
нъ,---------n
печаль,-s---fn--i
ваша,2s---fn--i
въ,---------n
радость,-s---fn--i
бѫдетъ,3sfia----i
жена,-s---fn--i
егда,---------n
раждаетъ,3spia----i
печаль,-s---fa--i
іматъ,3spia----i
ѣко,---------n
пріде,3saia----i
годъ,-s---mn--i
еѧ,3s---fg--i
егда,---------n
же,---------n
родітъ,3spia----i
отрочѧ,-s---nn--i
къ,---------n
томоу,-s---md--i
не,---------n
помьнітъ,3spia----i
скръбі,-s---fg--i
за,---------n
радость,-s---fa--i
ѣко,---------n
роді,3saia----i
сѧ,3s---qa--i
чкъ,-s---mn--i
въ,---------n
міръ,-s---ma--i
і,---------n
въі,2p---qn--i
же,---------n
оубо,---------n
нъінѣ,---------n
печальні,-p---mnpsi
бѫдете,2pfia----i
пакъі,---------n
же,---------n
зьрѫ,1spia----i
въі,2p---qa--i
і,---------n
въздрадоуетъ,3spia----i
сѧ,3s---qa--i
сръдьце,-s---nn--i
ваше,2s---nn--i
і,---------n
радості,-s---fg--i
вашеѧ,2s---fg--i
нікътоже,-s---qn--i
не,---------n
възъметъ,3spia----i
отъ,---------n
васъ,2p---qg--i
і,---------n
въ,---------n
тъ,-s---ma--i
дьнь,-s---ma--i
мене,1s---qg--i
не,---------n
въпросіте,2ppia----i
нічесоже,-s---ng--i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
аште,---------n
чесо,-s---ng--i
просіте,2ppia----i
оу,---------n
оца,-s---mg--i
въ,---------n
імѧ,-s---na--i
мое,1s---na--i
дастъ,3spia----i
вамъ,2p---qd--i
доселѣ,---------n
не,---------n
просісте,2paia----i
нічесоже,-s---ng--i
въ,---------n
імѧ,-s---na--i
мое,1s---na--i
просіте,2ppia----i
і,---------n
пріімете,2ppia----i
да,---------n
радость,-s---fn--i
ваша,2s---fn--i
ісплънена,-suppfn-si
бѫдетъ,3sfia----i
сі,-p---na--i
въ,---------n
прітъчахъ,-p---fl--i
глахъ,1saia----i
вамъ,2p---qd--i
прідетъ,3spia----i
годіна,-s---fn--i
егда,---------n
к,---------n
томоу,-s---nd--i
въ,---------n
прітъчахъ,-p---fl--i
не,---------n
глѭ,1spia----i
вамъ,2p---qd--i
нъ,---------n
не,---------n
обіноуѧ,-sppamn-si
сѧ,3s---qa--i
о,---------n
оці,-p---mi--i
вьзвѣштѫ,1spia----i
вамъ,2p---qd--i
въ,---------n
тъ,-s---ma--i
дьнь,-s---ma--i
въ,---------n
імѧ,-s---na--i
мое,1s---na--i
въспросіте,2ppia----i
і,---------n
не,---------n
глѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
азъ,1s---qn--i
оумолѭ,1spia----i
оца,-s---mg--i
о,---------n
васъ,2p---ql--i
самъ,-s---mn--i
бо,---------n
оць,-s---mn--i
любітъ,3spia----i
въі,2p---qa--i
ѣко,---------n
въі,2p---qn--i
мене,1s---qg--i
вьзлюбісте,2paia----i
і,---------n
вѣровасте,2paia----i
ѣко,---------n
отъ,---------n
ба,-s---mg--i
ізідъ,1saia----i
ізідъ,1saia----i
отъ,---------n
оца,-s---mg--i
і,---------n
прідъ,1saia----i
въ,---------n
вьсь,-s---ma--i
міръ,-s---ma--i
пакъі,---------n
оставлѣѭ,1spia----i
вьсь,-s---ma--i
міръ,-s---ma--i
і,---------n
ідѫ,3paia----i
къ,---------n
оцоу,-s---md--i
глашѧ,3paia----i
емоу,3s---md--i
оученіці,-p---mn--i
его,3s---mg--i
се,---------n
нъінѣ,---------n
обіноуѧ,-sppamn-si
сѧ,3s---qa--i
глеші,2spia----i
а,---------n
прітъчѧ,-s---fg--i
ні,---------n
едіноѧ,-s---fg--i
же,---------n
глеші,2spia----i
нъінѣ,---------n
вѣмъ,1ppia----i
ѣко,---------n
вѣсі,2spia----i
всѣ,-p---na--i
і,---------n
не,---------n
трѣбоуеші,2spia----i
да,---------n
къто,-s---pn--i
тѧ,2s---pa--i
въпрашаетъ,3spia----i
о,---------n
семь,-s---nl--i
вѣроуемъ,1ppia----i
ѣко,---------n
отъ,---------n
ба,-s---mg--i
есі,2spia----i
ішьлъ,-sspamn-si
отъвѣшта,3saia----i
імъ,3p---md--i
іс,-s---mn--i
нъінѣ,---------n
лі,---------n
вѣроуете,2ppia----i
се,-s---nn--i
грѧдетъ,3spia----i
годіна,-s---fn--i
і,---------n
нъінѣ,---------n
пріде,3saia----i
да,---------n
разідетъ,3spia----i
сѧ,3s---qa--i
кождо,-s---mn--i
въ,---------n
своѣ,3p---na--i
і,---------n
мене,1s---qg--i
едіного,-s---og--i
оставіте,2ppia----i
і,---------n
нѣсмь,1spia----i
едінъ,-s---mn--i
ѣко,---------n
оць,-s---mn--i
съ,---------n
мноѭ,1s---qi--i
естъ,3spia----i
сі,-p---na--i
глахъ,1saia----i
вамъ,2p---qd--i
да,---------n
въ,---------n
мьнѣ,1s---ql--i
міръ,-s---mn--i
імате,2ppia----i
въ,---------n
всемь,-s---ml--i
мірѣ,-s---ml--i
скръбьні,-p---mnpsi
бѫдете,2pfia----i
нъ,---------n
дръзаіте,2ppma----i
азъ,1s---qn--i
побѣбѣдіхъ,1saia----i
всего,-s---mg--i
міра,-s---mg--i
сі,-p---na--i
гла,3saia----i
іс,-s---mn--i
і,---------n
възведе,3saia----i
очі,-d---na--i
своі,3d---na--i
на,---------n
нбо,-s---na--i
і,---------n
рече,3saia----i
оче,-s---mv--i
пріде,3saia----i
часъ,-s---mn--i
прославі,2spma----i
сна,-s---mg--i
своего,3s---og--i
до,---------n
і,---------n
снъ,-s---mn--i
твоі,2s---mn--i
прославітъ,3spia----i
тѧ,2s---qa--i
ѣкоже,---------n
далъ,-sspamn-si
емоу,3s---md--i
есі,2spia----i
власть,-s---fa--i
вьсѣкоѧ,-s---fgpsi
плъті,-s---fg--i
да,---------n
всѣко,-s---nnpsi
еже,-s---nn--i
емоу,3s---md--i
есі,2spia----i
далъ,-sspamn-si
дастъ,3saia----i
імъ,3p---md--i
жівота,-s---mg--i
вѣчьнаго,-s---mgpwi
се,-s---nn--i
же,---------n
естъ,3spia----i
вѣчьнъі,-s---mapwi
жівотъ,-s---ma--i
да,---------n
знаѭтъ,3ppia----i
тебе,2s---qg--i
едіного,-s---og--i
істіньнаго,-s---mgpwi
ба,-s---mg--i
і,---------n
егоже,-s---mg--i
посъла,3saia----i
іу,-s---mn--i
ха,-s---mg--i
азъ,1s---qn--i
прославіхъ,1saia----i
тѧ,2s---qa--i
на,---------n
землі,-s---fl--i
дѣло,-s---na--i
съвръшіхъ,1saia----i
еже,-s---na--i
далъ,-sspamn-si
есі,2spia----i
мьнѣ,1s---qd--i
да,---------n
сътворѭ,1spia----i
і,---------n
нъінѣ,---------n
прославі,2spma----i
мѧ,1s---ma--i
оче,-s---mv--i
оу,---------n
тебе,2s---qg--i
самого,-s---og--i
славѫ,-s---fi--i
ѭже,-s---fa--i
імѣхъ,1siia----i
прѣжде,---------n
даже,---------n
не,---------n
бъіс,3saia----i
оу,---------n
тебе,2s---mg--i
вьсь,-s---ma--i
міръ,-s---ma--i
ѣвіхъ,1saia----i
імѧ,-s---na--i
твое,2s---na--i
чкомъ,-p---md--i
ѧже,-p---ma--i
далъ,-sspamn-si
есі,2spia----i
мьнѣ,1s---qd--i
отъ,---------n
вьсего,-s---mg--i
міра,-s---mg--i
твоі,2p---mn--i
бѣшѧ,3piia----i
і,---------n
мьнѣ,1s---qd--i
ѧ,3p---ma--i
далъ,-sspamn-si
есі,2spia----i
і,---------n
слово,-s---na--i
твое,2s---na--i
съхранішѧ,3paia----i
нъінѣ,---------n
разоумѣшѧ,3paia----i
ѣко,---------n
всѣ,-p---nn--i
еліко,---------n
далъ,-sspamn-si
есі,2spia----i
мьнѣ,1s---qd--i
отъ,---------n
тебе,2s---qg--i
сѫтъ,3ppia----i
ѣко,---------n
глъі,-p---ma--i
ѧже,-p---ma--i
дастъ,3saia----i
мьнѣ,1s---qd--i
дахъ,1saia----i
імъ,3p---md--i
і,---------n
ті,-p---mn--i
пріѧшѧ,3paia----i
і,---------n
разоумѣшѧ,3paia----i
въ,---------n
істінѫ,-s---fa--i
ѣко,---------n
отъ,---------n
тебе,2s---qg--i
ізідъ,1saia----i
і,---------n
вѣровашѧ,3paia----i
ѣко,---------n
тъі,2s---qn--i
мѧ,1s---qa--i
посъла,2saia----i
азъ,1s---qn--i
о,---------n
сіхъ,-p---ml--i
молѭ,1spia----i
не,---------n
о,---------n
вьсемь,-s---ol--i
мірѣ,-s---ml--i
молѭ,1spia----i
нъ,---------n
о,---------n
сіхъ,-p---ml--i
ѧже,-p---ma--i
далъ,-sspamn-si
есі,2spia----i
мьнѣ,1s---qd--i
ѣко,---------n
твоі,2p---mn--i
сѫтъ,3ppia----i
і,---------n
моѣ,1p---nn--i
вьсѣ,-p---nn--i
твоѣ,2p---nn--i
сѫтъ,3ppia----i
і,---------n
твоѣ,2p---nn--i
моѣ,1p---nn--i
і,---------n
прославіхъ,1saia----i
сѧ,3s---qa--i
вь,---------n
ніхъ,3p---ml--i
і,---------n
к,---------n
томоу,-s---nd--i
нѣсмь,1spia----i
въ,---------n
всемь,-s---ml--i
мірѣ,-s---ml--i
і,---------n
і,---------n
сіі,-p---mn--i
въ,---------n
всемь,-s---ml--i
мірѣ,-s---ml--i
сѫтъ,3ppia----i
і,---------n
азъ,1s---qn--i
къ,---------n
тебѣ,2s---qd--i
грѧдѫ,1spia----i
дѧтъ,3ppia----i
славѫ,-s---fa--i
моѭ,1s---fa--i
ѭже,-s---fa--i
далъ,-sspamn-si
есі,2spia----i
мьнѣ,1s---qd--i
ѣко,---------n
вьзлюбілъ,-sspamn-si
мѧ,1s---ma--i
есі,2spia----i
прѣжде,---------n
съложеніѣ,-s---ng--i
всего,-s---mg--i
міра,-s---mg--i
оче,-s---mv--i
правьдънъі,-s---mnpwi
і,---------n
вьсь,-s---ma--i
міръ,-s---ma--i
тебе,2s---qg--i
не,---------n
позна,3saia----i
азъ,1s---qn--i
же,---------n
тѧ,2s---qa--i
познахъ,1saia----i
і,---------n
сіі,-p---mn--i
познашѧ,3paia----i
ѣко,---------n
тъі,2s---qn--i
мѧ,1s---qa--i
посъла,2saia----i
і,---------n
съказахъ,1saia----i
імъ,3p---md--i
імѧ,-s---na--i
твое,2s---na--i
і,---------n
съкажѫ,1spia----i
да,---------n
любъі,-s---fn--i
еѭже,-s---fi--i
мѧ,1s---qa--i
есі,2spia----i
вьзлюбілъ,-sspamn-si
вь,---------n
ніхъ,3p---ml--i
бѫдетъ,3sfia----i
і,---------n
азъ,1s---qn--i
вь,---------n
ніхъ,3p---ml--i
сі,-p---na--i
рекъ,-supamn-si
іс,-s---mn--i
ізіде,3saia----i
съ,---------n
оученікъі,-p---mi--i
своімі,3p---qi--i
на,---------n
онъ,-s---ma--i
полъ,-s---ma--i
острова,-s---mgpsi
кедрьска,-s---mgpsi
ідеже,---------n
бѣ,3siia----i
врътъ,-s---mn--i
въ,---------n
ньже,-s---ma--i
вьніде,3saia----i
самъ,-s---mn--i
і,---------n
оученіці,-p---mn--i
его,3s---mg--i
вѣдѣаше,3siia----i
же,---------n
іюда,-s---mn--i
іже,-s---mn--i
і,---------n
прѣдаше,3siia----i
мѣсто,-s---na--i
ѣко,---------n
множіцеѭ,---------n
събіраше,3siia----i
сѧ,3s---qa--i
іс,-s---mn--i
тоу,---------n
съ,---------n
оученікъі,-p---mi--i
своімі,3p---qi--i
іюда,-s---mn--i
же,---------n
прімъ,-supamn-si
спірѫ,-s---fa--i
і,---------n
отъ,---------n
архіереі,-p---mn--i
і,---------n
фарісѣі,-p---mn--i
слоугъі,-p---mn--i
пріде,3saia----i
тамо,---------n
съ,---------n
свѣтілъі,-p---ni--i
і,---------n
свѣштамі,-p---fi--i
і,---------n
орѫжіі,-p---ni--i
іс,-s---mn--i
же,---------n
вѣдъі,-sppamn-si
вьсѣ,-p---na--i
грѧдѫшта,-sppamg-si
на,---------n
нь,3s---ma--i
ішьдъ,-supamn-si
рече,3saia----i
імъ,3p---md--i
кого,-s---qg--i
іштете,2ppia----i
отъвѣшташѧ,3paia----i
емоу,3s---md--i
іса,-s---mg--i
назарѣа,-s---mg--i
гла,3saia----i
імъ,3p---md--i
іс,-s---mn--i
азъ,1s---qn--i
есмь,1spia----i
стоѣаше,3siia----i
же,---------n
іюда,-s---mn--i
іже,-s---mn--i
і,---------n
прѣдааше,3siia----i
съ,---------n
німі,3p---mi--i
да,---------n
ѣко,---------n
рече,3saia----i
імъ,3p---md--i
азъ,1s---qn--i
есмь,1spia----i
ідѫ,1spia----i
вьспѧть,---------n
і,---------n
падѫ,3paia----i
на,---------n
землі,-s---fl--i
пакъі,---------n
же,---------n
ѧ,3p---ma--i
въпросі,3saia----i
іс,-s---mn--i
кого,-s---qg--i
іштете,2ppia----i
оні,-p---mn--i
же,---------n
рѣшѧ,3paia----i
іса,-s---mg--i
назарѣа,-s---mg--i
отъвѣшта,3saia----i
іс,-s---mn--i
рѣхъ,1saia----i
вамъ,2p---qd--i
ѣко,---------n
азъ,1s---qn--i
есмь,1spia----i
аште,---------n
оубо,---------n
мене,1s---qg--i
іштете,2ppia----i
не,---------n
дѣіте,2ppma----i
сіхъ,-p---fg--i
іті,--pna----i
да,---------n
събѫдетъ,3spia----i
сѧ,3s---qa--i
слово,-s---nn--i
еже,-s---nn--i
рече,3saia----i
ѣко,---------n
ѧже,-p---ma--i
далъ,-sspamn-si
есі,2spia----i
мьнѣ,1s---qd--i
не,---------n
погоубіхъ,1saia----i
нікогоже,-s---qg--i
отъ,---------n
ніхъ,3p---mg--i
сімонъ,-s---mn--i
же,---------n
петръ,-s---mn--i
імъі,-sppamn-si
ножь,-s---ma--i
ізвлѣче,3saia----i
і,---------n
і,---------n
оударі,3saia----i
архіереова,-s---ogpsi
раба,-s---mg--i
і,---------n
оурѣза,3saia----i
емоу,3s---md--i
оухо,-s---na--i
десное,-s---napwi
бѣ,3siia----i
же,---------n
імѧ,-s---na--i
рабоу,-s---md--i
малхъ,-s---mn--i
рече,3saia----i
же,---------n
іс,-s---mn--i
петрові,-s---md--i
въньзі,2spma----i
ножь,-s---ma--i
въ,---------n
ножьніцѧ,-s---fg--i
чашѫ,-s---fa--i
ѭже,-s---fa--i
дастъ,3saia----i
мьнѣ,1s---qd--i
оць,-s---mn--i
не,---------n
імамь,1spia----i
лі,---------n
піті,--pna----i
еѧ,3s---fg--i
спіра,-s---fn--i
же,---------n
і,---------n
тъісѫштьнікъ,-s---mn--i
і,---------n
слоугъі,-p---mn--i
іюдѣіскъі,-p---fnpsi
ѧшѧ,3paia----i
іса,-s---mg--i
і,---------n
съвѧзашѧ,3paia----i
і,3s---ma--i
і,---------n
ведошѧ,3paia----i
і,3s---ma--i
къ,---------n
аннѣ,-s---ml--i
прьвѣе,---------n
кѫѭ,-s---fa--i
рѣчь,-s---fa--i
пріносіте,2ppia----i
на,---------n
чка,-s---mg--i
сего,-s---og--i
отъвѣшташѧ,3paia----i
же,---------n
і,---------n
рѣшѧ,3paia----i
емоу,3s---md--i
аште,---------n
не,---------n
бі,3spsa----i
бъілъ,-sspamn-si
сь,-s---mn--i
зълодѣі,-s---mn--i
не,---------n
біхомъ,1paia----i
прѣдалі,-pspamn-si
его,3s---mg--i
тебѣ,2s---qd--i
рече,3saia----i
же,---------n
імъ,3p---md--i
пілатъ,-s---mn--i
поімѣте,2ppma----i
і,3s---ma--i
въі,2p---qn--i
і,---------n
по,---------n
законоу,-s---md--i
вашемоу,2s---od--i
сѫдіте,2ppma----i
емоу,3s---md--i
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
іюдѣі,-p---mn--i
намъ,1p---md--i
не,---------n
достоітъ,3spia----i
нікогоже,-s---mg--i
оубіті,--pna----i
да,---------n
слово,-s---nn--i
ісво,-s---nnpsi
събѫдетъ,3spia----i
сѧ,3s---qa--i
еже,-s---nn--i
рече,3saia----i
клеплѧ,-sppamn-si
коеѭ,-s---fi--i
съмрътіѭ,-s---fi--i
хотѣа,-s---mg--i
оумьрѣті,--pna----i
вьніде,3saia----i
же,---------n
пакъі,---------n
пілатъ,-s---mn--i
въ,---------n
преторъ,-s---ma--i
і,---------n
гласі,3saia----i
іса,-s---mg--i
і,---------n
рече,3saia----i
емоу,3s---md--i
тъі,2s---qn--i
лі,---------n
есі,2spia----i
црь,-s---mn--i
іюдеіскъ,-s---mnpsi
отъвѣшта,3saia----i
емоу,3s---md--i
іс,-s---mn--i
о,---------n
себѣ,3s---ql--i
лі,---------n
се,-s---na--i
т,---------n
глеші,2spia----i
лі,---------n
іні,-p---mn--i
тебѣ,2s---qd--i
рѣшѧ,3paia----i
о,---------n
мьнѣ,1s---ql--i
отъвѣшта,3saia----i
пілатъ,-s---mn--i
еда,---------n
азъ,1s---qn--i
жідовінъ,-s---mn--i
есмь,1spia----i
родъ,-s---ma--i
твоі,2s---ma--i
і,---------n
архіереі,-p---mn--i
прѣдашѧ,3paia----i
тѧ,2s---qa--i
мнѣ,1s---md--i
чьто,-s---na--i
есі,2spia----i
сътворілъ,-sspamn-si
отъвѣшта,3saia----i
іс,-s---mn--i
црсо,-s---nn--i
мое,1s---nn--i
нѣстъ,3spia----i
отъ,---------n
сего,-s---og--i
міра,-s---mg--i
аште,---------n
отъ,---------n
сего,-s---og--i
міра,-s---mg--i
бі,3spsa----i
бъіло,-sspann-si
црсо,-s---nn--i
мое,1s---nn--i
слоугъі,-p---mn--i
оубо,---------n
моѧ,1p---fn--i
подвізалъі,-pspafn-si
сѧ,3s---qa--i
бъішѧ,3paia----i
да,---------n
не,---------n
прѣданъ,-suppmn-si
бімь,1spsa----i
іюдеомъ,-p---md--i
нъінѣ,---------n
же,---------n
црсо,-s---nn--i
мое,1s---nn--i
нѣстъ,3spia----i
отъсѫдоу,---------n
рече,3saia----i
же,---------n
емоу,3s---md--i
пілатъ,-s---mn--i
оубо,---------n
црь,-s---mn--i
лі,---------n
есі,2spia----i
тъі,2s---qn--i
отъвѣшта,3saia----i
іс,-s---mn--i
тъі,2s---qn--i
глеші,2spia----i
ѣко,---------n
црь,-s---mn--i
есмь,1spia----i
азъ,1s---qn--i
азъ,1s---qn--i
на,---------n
се,---------n
родіхъ,1saia----i
сѧ,3s---qa--i
і,---------n
на,---------n
се,---------n
прідъ,1saia----i
въ,---------n
вьсь,-s---ma--i
міръ,-s---ma--i
да,---------n
съвѣдѣтельствоуѭ,1spia----i
о,---------n
істінѣ,-s---fl--i
вьсѣкъ,-s---mnpsi
іже,-s---mn--i
естъ,3spia----i
отъ,---------n
істінъі,-s---fg--i
послоушаетъ,3spia----i
гласа,-s---mg--i
моего,1s---og--i
гла,3saia----i
емоу,3s---md--i
пілатъ,-s---mn--i
чьто,-s---nn--i
естъ,3spia----i
істіна,-s---fn--i
і,---------n
се,-s---na--i
рекъ,-supamn-si
пакъі,---------n
ізіде,3saia----i
къ,---------n
іюдеомъ,-p---md--i
і,---------n
гла,3saia----i
імъ,3p---md--i
азъ,1s---qn--i
ні,---------n
едіноѧ,-s---fg--i
вінъі,-s---fg--i
не,---------n
обрѣтаѭ,1spia----i
вь,---------n
немь,3s---ml--i
естъ,3spia----i
же,---------n
объічаі,-s---mn--i
вамъ,2p---qd--i
да,---------n
едіного,-s---mg--i
вамъ,2p---qd--i
отъпоуштѫ,1spia----i
на,---------n
пасхѫ,-s---fa--i
хоштете,2ppia----i
лі,---------n
оубо,---------n
да,---------n
отъпоуштѫ,1spia----i
вамъ,2p---qd--i
црѣ,-s---mg--i
іюдеіска,-s---ogpsi
възъпішѧ,3paia----i
же,---------n
всі,-p---mn--i
глѭште,-pppamn-si
не,---------n
сего,-s---og--i
нъ,---------n
вараавѫ,-s---ma--i
бѣ,3siia----i
же,---------n
вараава,-s---mn--i
разбоінікъ,-s---mn--i
тогда,---------n
же,---------n
пілатъ,-s---mn--i
поѧтъ,3saia----i
іса,-s---mg--i
і,---------n
бі,3spsa----i
і,---------n
і,---------n
воіні,-p---mn--i
съплетъше,-pupamn-si
отъ,---------n
тръніѣ,-s---ng--i
вѣньць,-s---ma--i
възложішѧ,3paia----i
на,---------n
главѫ,-s---fa--i
емоу,3s---md--i
і,---------n
въ,---------n
різѫ,-s---fa--i
прапрѫдьнѫ,-s---fapsi
облѣшѧ,3paia----i
і,3s---ma--i
і,---------n
похождаахѫ,3piia----i
къ,---------n
немоу,3s---md--i
і,---------n
глаахѫ,3piia----i
радоуі,2spma----i
сѧ,3s---qa--i
